Transaction_ID,event_date,Scenario,Asset_Class,Sub_Asset_Class,Variable_X,Variable_Y,Underlying_Asset_Price,Option_Strike_Price,Risk_Free_Rate,Time_To_Maturity,Asset_Volatility,Return_Asset1,Return_Asset2,Return_Asset3,Weight_Asset1,Weight_Asset2,Weight_Asset3,Portfolio_Return,Cash_Flow_Period1,Cash_Flow_Period2,Cash_Flow_Period3,Bond_Yield,CashFlow_TimePeriod1,CashFlow_TimePeriod2,CashFlow_TimePeriod3,Probability_Default,Loss_Given_Default,Exposure_At_Default,Bid_Price,Ask_Price,Base_Asset_Value,Stressed_Asset_Value,Stress_Exposure,Gross_Income,Asset_Risk_Weight,Additional_Liquidity_Risk,Time_Series_Lag_Value,Current_Time_Series_Value
20,22/07/2025,Monte Carlo,Alternative,Real Estate,6.13,8.18,115.91,126.34,0.045,0.64,0.23,0.045,0.08,0.066,0.29,0.24,0.47,0.064,7.0,8.0,105.0,0.04,1.0,1.0,2.0,0.023,0.48,927.0,114.24,115.99,111.5,109.1,150.0,634456.0,0.23,0.04,13.8,14.7
21,23/08/2026,Base,Commodity,Oil,6.18,9.26,128.76,108.8,0.032,1.14,0.22,0.033,0.053,0.06,0.4,0.32,0.28,0.068,4.0,4.0,103.0,0.032,3.0,3.0,3.0,0.01,0.66,1039.0,96.08,97.36,112.45,110.95,139.0,510322.0,0.23,0.05,11.4,13.2
22,08/10/2026,Base,Commodity,Gold,7.04,6.96,96.34,112.03,0.037,0.69,0.4,0.093,0.057,0.029,0.45,0.35,0.2,0.066,6.0,5.0,108.0,0.05,1.0,2.0,2.0,0.047,0.55,1164.0,112.28,113.19,115.8,114.47,149.0,601548.0,0.28,0.05,11.5,12.7
23,11/05/2026,Base,Commodity,Gold,5.73,8.21,111.74,108.21,0.03,0.88,0.34,0.066,0.039,0.082,0.21,0.42,0.37,0.065,7.0,6.0,107.0,0.046,3.0,2.0,1.0,0.03,0.58,1161.0,112.48,113.64,110.52,109.11,144.0,581996.0,0.27,0.05,12.3,14.2
24,28/10/2026,Stressed,Derivative,Swap,4.4,7.31,116.97,111.34,0.049,1.75,0.38,0.059,0.063,0.069,0.27,0.41,0.32,0.044,5.0,4.0,110.0,0.045,2.0,1.0,1.0,0.022,0.41,997.0,96.12,97.16,108.61,107.62,138.0,636360.0,0.22,0.05,13.0,13.8
25,27/05/2025,Monte Carlo,Fixed Income,Corporate Bond,5.16,8.55,108.38,116.67,0.047,1.43,0.26,0.064,0.026,0.096,0.5,0.29,0.21,0.078,7.0,6.0,103.0,0.05,3.0,1.0,2.0,0.024,0.49,1110.0,95.44,97.19,107.92,107.4,147.0,655662.0,0.3,0.08,13.7,15.4
26,27/12/2025,Stressed,Derivative,Option,5.1,6.76,100.03,120.22,0.043,1.86,0.23,0.028,0.07,0.023,0.44,0.21,0.35,0.048,5.0,8.0,103.0,0.038,1.0,3.0,3.0,0.025,0.55,982.0,98.29,100.16,118.88,116.45,136.0,674079.0,0.28,0.06,10.4,11.9
27,11/02/2026,Stressed,Fixed Income,Municipal Bond,8.84,9.22,104.63,121.63,0.02,1.57,0.29,0.074,0.074,0.067,0.45,0.48,0.07,0.035,5.0,4.0,109.0,0.041,3.0,1.0,1.0,0.043,0.67,991.0,103.17,103.88,118.93,117.82,140.0,519438.0,0.29,0.05,12.3,13.6
28,08/06/2025,Stressed,Alternative,Private Equity,8.43,8.62,123.35,114.63,0.048,1.06,0.34,0.037,0.056,0.039,0.31,0.49,0.2,0.048,8.0,7.0,101.0,0.036,3.0,3.0,3.0,0.014,0.46,1092.0,114.42,115.0,106.67,104.19,146.0,541041.0,0.28,0.06,12.9,14.5
29,03/09/2026,Monte Carlo,Fixed Income,Corporate Bond,4.01,9.43,95.79,95.2,0.028,0.85,0.33,0.022,0.021,0.083,0.27,0.3,0.43,0.039,4.0,7.0,105.0,0.045,2.0,3.0,2.0,0.014,0.55,1184.0,95.87,97.54,117.34,115.8,139.0,692805.0,0.21,0.06,12.0,13.4
30,17/03/2025,Monte Carlo,Commodity,Agriculture,8.5,7.29,95.93,95.05,0.039,1.67,0.34,0.05,0.068,0.044,0.35,0.33,0.32,0.07,4.0,7.0,109.0,0.041,3.0,2.0,3.0,0.027,0.65,1020.0,109.59,110.56,106.25,105.24,149.0,637364.0,0.25,0.04,10.4,11.3
31,24/08/2026,Stressed,Derivative,Option,8.78,8.25,116.8,106.43,0.046,2.38,0.28,0.093,0.024,0.043,0.29,0.23,0.48,0.055,5.0,6.0,108.0,0.037,2.0,1.0,2.0,0.019,0.53,1068.0,110.35,111.78,113.5,111.89,142.0,631566.0,0.27,0.04,11.4,12.9
32,27/05/2025,Base,Derivative,Future,6.83,7.6,95.67,115.33,0.021,1.99,0.24,0.054,0.047,0.05,0.42,0.43,0.15,0.058,4.0,4.0,102.0,0.042,2.0,2.0,2.0,0.029,0.53,982.0,110.1,110.77,108.6,107.53,144.0,597327.0,0.27,0.04,12.0,13.2
33,05/08/2025,Base,Equity,Common Stock,7.84,9.06,101.58,94.8,0.035,1.36,0.23,0.063,0.038,0.065,0.4,0.31,0.29,0.05,7.0,6.0,105.0,0.032,2.0,2.0,2.0,0.036,0.49,1022.0,114.32,115.08,118.95,117.53,144.0,572371.0,0.24,0.04,12.2,13.0
34,14/12/2025,Monte Carlo,Equity,Preferred Stock,5.11,9.12,93.06,115.33,0.036,0.89,0.36,0.048,0.097,0.072,0.24,0.23,0.53,0.043,5.0,5.0,108.0,0.032,3.0,2.0,2.0,0.033,0.57,1104.0,112.64,114.1,119.73,118.58,149.0,563228.0,0.24,0.06,13.2,14.8
35,17/03/2025,Base,Alternative,Hedge Fund,5.55,7.81,92.28,123.27,0.022,2.23,0.37,0.069,0.061,0.057,0.37,0.44,0.19,0.075,6.0,7.0,107.0,0.036,2.0,1.0,1.0,0.014,0.67,1003.0,109.29,110.55,103.45,102.45,139.0,587884.0,0.25,0.05,11.9,12.5
36,23/02/2025,Stressed,Commodity,Oil,7.95,8.59,92.64,93.78,0.04,1.07,0.34,0.073,0.093,0.09,0.3,0.37,0.33,0.037,5.0,8.0,107.0,0.038,2.0,3.0,2.0,0.025,0.64,1144.0,108.4,110.14,114.78,112.91,141.0,629205.0,0.24,0.05,11.8,12.2
37,13/05/2026,Monte Carlo,Fixed Income,Corporate Bond,4.96,10.0,96.2,101.83,0.044,1.52,0.31,0.079,0.062,0.073,0.46,0.39,0.15,0.06,5.0,5.0,107.0,0.042,3.0,2.0,1.0,0.025,0.62,1191.0,107.21,108.84,115.68,114.71,135.0,693119.0,0.28,0.08,11.0,12.4
38,16/10/2025,Base,Alternative,Private Equity,7.89,8.01,106.75,96.48,0.026,1.71,0.37,0.024,0.058,0.05,0.48,0.41,0.11,0.056,4.0,4.0,102.0,0.039,2.0,3.0,1.0,0.046,0.65,1165.0,113.61,114.73,107.93,106.68,138.0,516321.0,0.22,0.05,10.5,11.9
39,21/10/2025,Base,Derivative,Option,8.59,7.89,123.24,120.35,0.034,1.73,0.38,0.022,0.037,0.032,0.48,0.38,0.14,0.051,7.0,5.0,101.0,0.035,2.0,2.0,1.0,0.043,0.55,1061.0,107.64,109.0,114.37,113.29,130.0,570563.0,0.26,0.05,13.3,14.3
40,12/07/2026,Monte Carlo,Derivative,Option,6.54,9.95,112.17,105.62,0.034,1.77,0.4,0.04,0.021,0.083,0.3,0.42,0.28,0.061,7.0,7.0,103.0,0.031,2.0,3.0,1.0,0.041,0.54,1109.0,107.63,109.35,101.26,99.21,139.0,558689.0,0.2,0.05,10.2,12.1
41,11/07/2026,Monte Carlo,Alternative,Private Equity,6.37,6.15,115.88,101.44,0.046,0.6,0.33,0.042,0.084,0.055,0.32,0.33,0.35,0.078,5.0,5.0,107.0,0.037,3.0,2.0,1.0,0.027,0.53,1199.0,98.61,99.55,102.05,100.89,136.0,589183.0,0.27,0.05,12.2,13.1
42,09/10/2025,Monte Carlo,Derivative,Swap,7.2,9.17,92.29,116.85,0.032,1.53,0.35,0.033,0.022,0.088,0.4,0.33,0.27,0.036,5.0,7.0,104.0,0.049,1.0,1.0,2.0,0.025,0.53,923.0,97.75,98.8,106.29,105.23,149.0,505183.0,0.22,0.06,14.6,14.8
43,19/09/2026,Base,Derivative,Swap,5.43,9.67,109.65,94.91,0.046,1.4,0.38,0.056,0.027,0.075,0.45,0.3,0.25,0.047,4.0,6.0,109.0,0.047,2.0,3.0,2.0,0.042,0.55,936.0,99.02,99.73,115.81,115.26,141.0,573782.0,0.28,0.06,13.1,13.3
44,06/05/2026,Monte Carlo,Derivative,Future,6.63,9.08,122.93,92.95,0.049,1.78,0.29,0.074,0.048,0.09,0.43,0.39,0.18,0.039,8.0,6.0,109.0,0.031,1.0,1.0,1.0,0.023,0.61,1004.0,113.82,115.66,116.92,115.92,143.0,610168.0,0.21,0.05,12.7,13.7
45,07/06/2025,Monte Carlo,Fixed Income,Municipal Bond,4.86,8.5,126.08,103.5,0.048,0.58,0.37,0.026,0.096,0.082,0.28,0.26,0.46,0.059,6.0,4.0,109.0,0.041,2.0,2.0,1.0,0.042,0.52,1036.0,108.77,109.51,108.31,106.88,137.0,528734.0,0.29,0.05,14.9,15.6
46,12/06/2026,Monte Carlo,Commodity,Gold,6.81,7.28,108.66,100.7,0.027,0.69,0.26,0.051,0.069,0.04,0.46,0.25,0.29,0.046,6.0,5.0,108.0,0.04,2.0,2.0,2.0,0.011,0.68,1052.0,114.33,115.15,107.06,106.46,140.0,676468.0,0.27,0.06,12.7,14.4
47,10/01/2026,Monte Carlo,Commodity,Gold,7.82,7.46,106.02,112.81,0.026,1.61,0.21,0.06,0.081,0.042,0.5,0.4,0.1,0.036,8.0,6.0,108.0,0.037,3.0,3.0,1.0,0.03,0.55,914.0,97.74,98.74,109.47,108.06,142.0,603101.0,0.23,0.06,10.8,12.8
48,06/06/2026,Base,Derivative,Swap,6.66,8.83,101.99,122.63,0.031,1.85,0.4,0.067,0.084,0.078,0.41,0.21,0.38,0.054,8.0,7.0,108.0,0.042,2.0,2.0,1.0,0.035,0.59,1152.0,97.96,99.48,100.63,98.23,132.0,503787.0,0.23,0.05,13.5,14.3
49,05/03/2025,Monte Carlo,Alternative,Private Equity,7.53,8.07,112.44,129.92,0.034,1.25,0.39,0.057,0.063,0.064,0.4,0.46,0.14,0.064,7.0,5.0,105.0,0.049,2.0,2.0,3.0,0.049,0.63,1111.0,108.8,110.03,109.6,107.98,149.0,644333.0,0.23,0.06,12.7,14.5
50,30/05/2025,Monte Carlo,Commodity,Oil,5.45,7.15,118.57,103.85,0.033,1.01,0.3,0.036,0.063,0.095,0.41,0.24,0.35,0.061,6.0,5.0,107.0,0.041,2.0,1.0,2.0,0.039,0.43,1131.0,95.1,96.43,118.58,117.27,149.0,675680.0,0.25,0.05,14.8,15.4
51,26/08/2025,Stressed,Equity,Common Stock,6.68,8.89,127.47,126.53,0.025,2.26,0.24,0.094,0.1,0.052,0.35,0.48,0.17,0.078,8.0,8.0,100.0,0.041,1.0,3.0,2.0,0.05,0.56,1048.0,113.77,115.55,109.36,108.47,132.0,532499.0,0.25,0.05,10.9,12.4
52,17/07/2025,Stressed,Derivative,Swap,4.88,9.42,125.88,123.08,0.035,0.67,0.33,0.035,0.031,0.046,0.27,0.28,0.45,0.042,7.0,8.0,103.0,0.044,1.0,2.0,2.0,0.012,0.44,992.0,103.11,104.36,117.9,115.99,136.0,523483.0,0.29,0.05,13.1,13.5
53,13/09/2026,Base,Fixed Income,Corporate Bond,5.87,8.81,126.51,120.29,0.044,2.15,0.35,0.074,0.068,0.083,0.36,0.36,0.28,0.048,8.0,4.0,108.0,0.048,1.0,2.0,1.0,0.044,0.53,1104.0,109.34,110.57,117.98,116.59,131.0,526389.0,0.24,0.06,12.8,14.1
54,18/09/2025,Base,Derivative,Swap,8.08,8.98,113.13,91.81,0.03,0.63,0.4,0.095,0.026,0.095,0.21,0.32,0.47,0.068,7.0,8.0,106.0,0.038,3.0,2.0,3.0,0.046,0.51,1105.0,108.24,109.55,113.07,111.87,134.0,607452.0,0.25,0.07,11.1,11.1
55,12/07/2026,Base,Equity,Preferred Stock,6.12,7.52,99.19,108.43,0.025,0.88,0.38,0.081,0.023,0.073,0.38,0.48,0.14,0.074,5.0,4.0,106.0,0.039,2.0,3.0,1.0,0.012,0.53,1062.0,110.09,111.75,102.8,100.31,135.0,683279.0,0.26,0.06,13.9,15.5
56,08/11/2026,Monte Carlo,Fixed Income,Corporate Bond,6.61,7.65,101.01,112.27,0.038,1.97,0.24,0.074,0.064,0.024,0.3,0.39,0.31,0.049,6.0,7.0,104.0,0.036,1.0,2.0,1.0,0.019,0.66,943.0,104.26,104.85,108.25,106.92,141.0,577684.0,0.23,0.05,10.4,11.3
57,15/07/2025,Stressed,Derivative,Option,4.26,7.51,114.2,91.58,0.022,2.11,0.32,0.074,0.037,0.037,0.47,0.29,0.24,0.075,5.0,5.0,107.0,0.045,3.0,3.0,2.0,0.038,0.52,972.0,101.43,102.35,109.33,107.53,136.0,571929.0,0.29,0.06,14.0,15.4
58,28/02/2026,Base,Derivative,Option,4.23,9.46,119.65,90.65,0.037,1.67,0.34,0.044,0.036,0.038,0.37,0.27,0.36,0.058,8.0,5.0,108.0,0.04,2.0,2.0,2.0,0.039,0.51,942.0,105.93,106.71,117.79,115.31,149.0,604789.0,0.28,0.04,14.1,14.2
59,08/10/2026,Base,Equity,Preferred Stock,5.16,8.83,90.37,110.23,0.031,1.74,0.33,0.069,0.059,0.059,0.2,0.37,0.43,0.031,6.0,5.0,110.0,0.03,3.0,2.0,3.0,0.046,0.43,929.0,97.98,98.77,110.53,108.4,135.0,579379.0,0.24,0.06,12.8,14.8
60,24/03/2025,Stressed,Fixed Income,Corporate Bond,7.27,9.43,120.38,93.74,0.031,1.61,0.21,0.021,0.034,0.06,0.33,0.44,0.23,0.058,7.0,4.0,105.0,0.031,1.0,3.0,3.0,0.029,0.41,922.0,113.51,115.36,111.27,110.7,149.0,562897.0,0.3,0.06,13.8,15.2
61,01/08/2026,Base,Commodity,Gold,5.2,9.34,105.57,125.86,0.03,2.01,0.23,0.099,0.078,0.06,0.49,0.22,0.29,0.052,7.0,5.0,108.0,0.049,2.0,3.0,1.0,0.021,0.7,1047.0,102.12,104.03,108.64,106.78,143.0,517139.0,0.26,0.07,13.6,13.8
62,12/10/2026,Stressed,Fixed Income,Corporate Bond,4.77,7.56,104.43,93.66,0.048,1.39,0.35,0.028,0.027,0.054,0.37,0.35,0.28,0.035,4.0,6.0,106.0,0.046,3.0,1.0,2.0,0.041,0.62,1068.0,114.85,115.71,110.42,108.55,133.0,553784.0,0.23,0.05,10.8,11.4
63,05/01/2026,Monte Carlo,Derivative,Future,5.26,6.99,115.0,113.75,0.026,0.71,0.26,0.096,0.047,0.07,0.44,0.3,0.26,0.047,7.0,7.0,110.0,0.033,2.0,3.0,1.0,0.023,0.69,1191.0,100.83,102.37,109.82,108.17,135.0,575211.0,0.28,0.06,10.6,11.7
64,18/07/2026,Base,Alternative,Real Estate,4.13,8.91,127.72,98.39,0.044,2.16,0.21,0.088,0.084,0.074,0.24,0.29,0.47,0.043,5.0,6.0,104.0,0.039,2.0,2.0,2.0,0.047,0.66,1025.0,95.74,97.69,114.03,111.91,142.0,682880.0,0.21,0.05,13.3,13.6
65,23/10/2026,Stressed,Alternative,Hedge Fund,7.39,7.6,120.11,128.63,0.033,0.52,0.25,0.061,0.062,0.066,0.37,0.33,0.3,0.05,7.0,6.0,105.0,0.037,1.0,1.0,2.0,0.048,0.43,1182.0,97.83,98.8,109.11,108.2,140.0,595233.0,0.24,0.07,11.6,12.2
66,26/10/2026,Monte Carlo,Equity,Common Stock,4.55,9.2,127.2,119.62,0.035,1.6,0.27,0.054,0.057,0.084,0.39,0.26,0.35,0.063,6.0,7.0,109.0,0.039,2.0,1.0,1.0,0.021,0.61,1139.0,106.55,108.25,110.74,109.51,134.0,522791.0,0.27,0.06,14.8,15.4
67,27/04/2025,Base,Commodity,Agriculture,5.74,9.38,114.69,122.55,0.041,1.09,0.32,0.027,0.031,0.029,0.29,0.25,0.46,0.065,6.0,6.0,101.0,0.038,1.0,2.0,2.0,0.036,0.7,1066.0,104.79,105.5,106.29,104.89,131.0,571808.0,0.2,0.05,14.1,16.0
68,03/12/2026,Base,Alternative,Real Estate,6.46,8.84,107.75,96.69,0.037,2.09,0.24,0.023,0.038,0.043,0.43,0.37,0.2,0.069,6.0,6.0,106.0,0.035,2.0,3.0,2.0,0.04,0.63,1032.0,99.37,100.51,114.72,112.91,135.0,674962.0,0.2,0.05,14.3,14.5
69,26/08/2026,Base,Equity,Common Stock,7.45,9.44,114.41,107.13,0.038,2.07,0.36,0.084,0.066,0.063,0.38,0.25,0.37,0.079,5.0,6.0,110.0,0.04,3.0,3.0,1.0,0.04,0.52,918.0,100.55,102.03,114.03,113.26,133.0,564419.0,0.22,0.07,12.0,12.3
70,08/04/2026,Base,Derivative,Swap,4.38,9.18,120.76,106.11,0.042,1.89,0.38,0.056,0.059,0.067,0.46,0.45,0.09,0.035,8.0,7.0,107.0,0.047,3.0,2.0,3.0,0.043,0.55,997.0,100.67,101.99,102.61,100.41,146.0,678831.0,0.28,0.04,13.1,14.8
71,11/06/2025,Monte Carlo,Equity,Common Stock,6.21,6.0,128.32,98.09,0.041,0.76,0.33,0.033,0.095,0.042,0.4,0.28,0.32,0.049,8.0,5.0,104.0,0.036,2.0,1.0,2.0,0.038,0.4,1043.0,97.65,98.49,113.6,113.08,144.0,663422.0,0.3,0.06,10.7,10.8
72,15/04/2025,Stressed,Commodity,Gold,4.52,7.47,101.97,105.31,0.044,2.25,0.33,0.074,0.025,0.065,0.38,0.25,0.37,0.048,5.0,7.0,109.0,0.042,2.0,1.0,3.0,0.016,0.44,1119.0,102.03,103.17,115.82,114.82,143.0,549633.0,0.26,0.07,11.4,13.3
73,14/09/2026,Base,Equity,Preferred Stock,6.55,8.99,101.82,92.18,0.047,2.41,0.3,0.029,0.06,0.068,0.36,0.49,0.15,0.079,8.0,5.0,109.0,0.041,2.0,2.0,3.0,0.048,0.63,905.0,96.35,97.24,100.8,100.18,146.0,601322.0,0.26,0.06,12.1,13.5
74,14/11/2025,Base,Equity,Common Stock,4.4,9.68,128.97,96.22,0.03,1.67,0.35,0.072,0.071,0.045,0.33,0.49,0.18,0.042,5.0,8.0,101.0,0.042,1.0,2.0,2.0,0.017,0.4,941.0,95.23,96.47,106.93,105.4,146.0,551849.0,0.24,0.07,14.4,15.9
75,16/03/2026,Base,Equity,Common Stock,5.36,6.26,118.49,113.07,0.022,1.41,0.27,0.06,0.065,0.049,0.28,0.23,0.49,0.059,7.0,5.0,105.0,0.031,3.0,1.0,2.0,0.025,0.45,1179.0,112.15,113.48,118.28,116.3,138.0,564360.0,0.24,0.07,11.4,11.6
76,23/02/2025,Stressed,Derivative,Option,4.9,9.22,129.26,128.16,0.022,1.43,0.26,0.088,0.046,0.064,0.2,0.26,0.54,0.058,5.0,6.0,105.0,0.042,2.0,3.0,1.0,0.046,0.63,974.0,95.13,96.25,104.66,103.47,147.0,675440.0,0.3,0.04,13.3,15.0
77,01/09/2025,Base,Derivative,Option,6.1,9.84,128.9,95.69,0.028,0.59,0.25,0.088,0.053,0.092,0.34,0.42,0.24,0.059,6.0,7.0,104.0,0.042,1.0,2.0,1.0,0.022,0.66,1178.0,102.86,104.61,106.53,105.12,135.0,688711.0,0.21,0.07,10.5,10.7
78,04/05/2025,Base,Commodity,Oil,6.68,9.86,98.31,102.33,0.028,0.74,0.23,0.075,0.086,0.076,0.21,0.45,0.34,0.046,4.0,5.0,104.0,0.04,2.0,2.0,3.0,0.011,0.52,1036.0,109.96,110.83,109.24,107.13,133.0,502391.0,0.28,0.08,10.7,12.3
79,23/10/2026,Stressed,Derivative,Swap,4.42,8.34,126.7,93.0,0.05,0.9,0.33,0.085,0.027,0.088,0.44,0.24,0.32,0.077,4.0,8.0,104.0,0.044,2.0,2.0,2.0,0.024,0.67,982.0,103.92,104.64,112.28,110.55,143.0,599778.0,0.29,0.06,10.4,11.2
80,23/06/2026,Stressed,Commodity,Gold,5.25,9.98,111.75,90.78,0.031,1.93,0.3,0.083,0.048,0.065,0.3,0.28,0.42,0.031,6.0,4.0,108.0,0.036,3.0,2.0,2.0,0.033,0.47,948.0,99.96,100.82,110.67,108.59,145.0,652810.0,0.29,0.06,14.9,15.7
81,22/11/2025,Base,Fixed Income,Government Bond,8.03,8.79,126.56,91.13,0.041,2.4,0.31,0.065,0.035,0.099,0.46,0.35,0.19,0.045,6.0,4.0,102.0,0.034,2.0,1.0,3.0,0.018,0.44,1115.0,113.38,115.15,106.47,105.93,142.0,683445.0,0.28,0.07,14.3,16.2
